,Title,Published_date,Views,Likes,Comments,Month
76,What is Pandas? (Data & Data Science) #shorts,2021-04-30,21095,1029,88,Apr
77,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,73706,3294,282,Apr
78,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23071,678,85,Apr
79,Why You Probably Won't Become a Data Scientist,2021-04-09,132700,3889,487,Apr
80,How to Go From Data Analyst to Data Scientist,2021-04-02,51385,1473,175,Apr
81,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3908,138,92,Mar
82,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,17213,339,108,Mar
83,My Regrets as a Data Science Student,2021-03-12,23437,866,112,Mar
84,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3797,194,83,Mar
85,What is the Future of my Comment Leaderboard Project?,2021-02-26,5520,201,81,Feb
86,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6331,168,51,Feb
87,Why I Quit Data Science,2021-02-12,103900,2337,347,Feb
88,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,9917,498,114,Jan
89,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6953,295,126,Jan
90,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9057,290,52,Jan
91,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,20867,678,134,Jan
92,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,34787,1106,147,Jan
93,What is the #66DaysOfData?,2020-12-26,67921,2282,210,Dec
94,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,130745,5973,494,Dec
95,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10595,391,136,Dec
96,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23055,718,328,Dec
97,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,25994,804,167,Nov
98,6 Lessons from #66DaysOfData,2020-11-13,6665,341,95,Nov
99,100K Channel Update + AMA Stream!,2020-11-12,2317,127,24,Nov
100,Find a Data Science Project With These 3 Techniques,2020-11-06,16197,708,106,Nov
101,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,25052,650,156,Oct
102,git for Data Science Made Simple... (Hopefully),2020-10-23,17605,819,92,Oct
103,The PODCAST you might have asked for?,2020-10-19,2080,94,44,Oct
104,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6633,445,113,Oct
105,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13246,388,48,Oct
106,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6406,141,62,Oct
107,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,10029,524,81,Oct
108,Sh*t Data Scientists Say (Parody),2020-10-05,9260,571,143,Oct
